PDB_ID,Experimental_Method,Resolution_(Å)
124D,SOLUTION NMR,
176D,SOLUTION NMR,
17RA,SOLUTION NMR,
1A1T,SOLUTION NMR,
1A3M,SOLUTION NMR,
1A4D,SOLUTION NMR,
1A4T,SOLUTION NMR,
1A51,SOLUTION NMR,
1A60,SOLUTION NMR,
1A9L,SOLUTION NMR,
1AC3,SOLUTION NMR,
1AFX,SOLUTION NMR,
1AJF,SOLUTION NMR,
1AJL,SOLUTION NMR,
1AJT,SOLUTION NMR,
1AJU,SOLUTION NMR,
1AKX,SOLUTION NMR,
1AL5,SOLUTION NMR,
1AM0,SOLUTION NMR,
1ANR,SOLUTION NMR,
1AQO,SOLUTION NMR,
1ARJ,SOLUTION NMR,
1ATO,SOLUTION NMR,
1ATV,SOLUTION NMR,
1ATW,SOLUTION NMR,
1AUD,SOLUTION NMR,
1B36,SOLUTION NMR,
1BAU,SOLUTION NMR,
1BGZ,SOLUTION NMR,
1BIV,SOLUTION NMR,
1BJ2,SOLUTION NMR,
1BN0,SOLUTION NMR,
1BVJ,SOLUTION NMR,
1BYJ,SOLUTION NMR,
1BYX,SOLUTION NMR,
1BZ2,SOLUTION NMR,
1BZ3,SOLUTION NMR,
1BZT,SOLUTION NMR,
1BZU,SOLUTION NMR,
1C0O,SOLUTION NMR,
1C2Q,SOLUTION NMR,
1C4L,SOLUTION NMR,
1CQ5,SOLUTION NMR,
1CQL,SOLUTION NMR,
1CX5,SOLUTION NMR,
1D0T,SOLUTION NMR,
1D0U,SOLUTION NMR,
1D6K,SOLUTION NMR,
1DRR,SOLUTION NMR,
1DZ5,SOLUTION NMR,
1E4P,SOLUTION NMR,
1E95,SOLUTION NMR,
1EBQ,SOLUTION NMR,
1EBR,SOLUTION NMR,
1EBS,SOLUTION NMR,
1EFS,SOLUTION NMR,
1EHT,SOLUTION NMR,
1EI2,SOLUTION NMR,
1EJZ,SOLUTION NMR,
1EKA,SOLUTION NMR,
1EKD,SOLUTION NMR,
1EKZ,SOLUTION NMR,
1ELH,SOLUTION NMR,
1ESH,SOLUTION NMR,
1ESY,SOLUTION NMR,
1ETF,SOLUTION NMR,
1ETG,SOLUTION NMR,
1EXY,SOLUTION NMR,
1F5G,SOLUTION NMR,
1F5H,SOLUTION NMR,
1F5U,SOLUTION NMR,
1F6U,SOLUTION NMR,
1F6X,SOLUTION NMR,
1F6Z,SOLUTION NMR,
1F78,SOLUTION NMR,
1F79,SOLUTION NMR,
1F7F,SOLUTION NMR,
1F7G,SOLUTION NMR,
1F7H,SOLUTION NMR,
1F7I,SOLUTION NMR,
1F84,SOLUTION NMR,
1F85,SOLUTION NMR,
1F9L,SOLUTION NMR,
1FEQ,SOLUTION NMR,
1FHK,SOLUTION NMR,
1FJE,SOLUTION NMR,
1FL8,SOLUTION NMR,
1FMN,SOLUTION NMR,
1FNX,SOLUTION NMR,
1FQZ,SOLUTION NMR,
1FYO,SOLUTION NMR,
1FYP,SOLUTION NMR,
1G3A,SOLUTION NMR,
1G70,SOLUTION NMR,
1GUC,SOLUTION NMR,
1H0Q,SOLUTION NMR,
1HG9,SOLUTION NMR,
1HHW,SOLUTION NMR,
1HHX,SOLUTION NMR,
1HJI,SOLUTION NMR,
1HLX,SOLUTION NMR,
1HS1,SOLUTION NMR,
1HS2,SOLUTION NMR,
1HS3,SOLUTION NMR,
1HS4,SOLUTION NMR,
1HS8,SOLUTION NMR,
1HWQ,SOLUTION NMR,
1I3X,SOLUTION NMR,
1I3Y,SOLUTION NMR,
1I46,SOLUTION NMR,
1I4B,SOLUTION NMR,
1I4C,SOLUTION NMR,
1I9F,SOLUTION NMR,
1I9K,SOLUTION NMR,
1IDV,SOLUTION NMR,
1IE1,SOLUTION NMR,
1IE2,SOLUTION NMR,
1IK1,SOLUTION NMR,
1IKD,SOLUTION NMR,
1J4Y,SOLUTION NMR,
1JO7,SOLUTION NMR,
1JOX,SOLUTION NMR,
1JP0,SOLUTION NMR,
1JTJ,SOLUTION NMR,
1JTW,SOLUTION NMR,
1JU1,SOLUTION NMR,
1JU7,SOLUTION NMR,
1JUR,SOLUTION NMR,
1JWC,SOLUTION NMR,
1JZC,SOLUTION NMR,
1K1G,SOLUTION NMR,
1K2G,SOLUTION NMR,
1K4A,SOLUTION NMR,
1K4B,SOLUTION NMR,
1K5I,SOLUTION NMR,
1K6G,SOLUTION NMR,
1K6H,SOLUTION NMR,
1K8S,SOLUTION NMR,
1KAJ,SOLUTION NMR,
1KIS,SOLUTION NMR,
1KKA,SOLUTION NMR,
1KKS,SOLUTION NMR,
1KOC,SOLUTION NMR,
1KOD,SOLUTION NMR,
1KOS,SOLUTION NMR,
1KP7,SOLUTION NMR,
